title,price,published,acreage,address
Cho thuê phòng trọ giá rẻ gần Chợ Lệ Trạch,0.65,22/02/2020,24.0,"K13 Đường ĐT 605, Xã Hòa Tiến, Huyện Hoà Vang, Đà Nẵng"
Cho thuê phòng trọ đầy đủ tiện nghi gần CĐ Thương Mại,1.8,17/10/2018,22.0,"Đường Hồ Quý Ly, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng"
Cho thuê phòng trọ/ nhà nguyên căn Thanh Khê-Đà Nẵng,2.0,05/02/2022,12.0,"204/9 Hải Phòng, Phường Tân Chính, Quận Thanh Khê, Đà Nẵng"
Cho thuê phòng trọ tại Đường Tô Ngọc Vân,-1.0,27/05/2016,40.0,"Tô Ngọc Vân, Phường Tân Chính, Quận Thanh Khê, Đà Nẵng"
Cho Thuê Phòng Trọ (Chỉ Cho Nữ),2.5,20/02/2020,20.0,"K43/1A Đường Mẹ Nhu, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng"
Phòng trọ cho sinh viên thuê gần mẹ nhu,1.2,14/12/2019,10.0,"Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng"
"Cho thuê phòng trọ 20m vuông, wc riêng",2.5,07/03/2020,20.0,"365 Đường Yên Khê 2, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng"
Cho thuê phòng trọ giá tầm 1.8 triệu đến 2 triệu,2.0,26/05/2020,19.0,"Đường Mẹ Hiền, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng"
Phòng trọ cao cấp Đà Nẵng chuẩn khách sạn 1 sao Hải Vân Sơn * Free Wifi - Giữ xe - Nước Nóng lạnh *. Lh 0854506001,2.5,26/12/2019,20.0,"220/3 Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng"
"Phòng trọ có gác 1.4tr sạch sẽ, an ninh Bình Kỳ ĐN",1.4,23/02/2021,30.0,"tổ 19 Đường Bình Kỳ, Phường Hòa Quý, Quận Ngũ Hành Sơn, Đà Nẵng"
"Cho thuê nhà trọ mini có sân rộng giá 700k/ tháng, đường Nam Kỳ Khởi Nghĩa",0.7000000000000001,21/10/2016,30.0,"Phường Hòa Quý, Quận Ngũ Hành Sơn, Đà Nẵng"
"Cho thuê phòng trọ cao cấp đường Minh Mạng, khu Nam Hòa Xuân",2.0,06/03/2020,30.0,"Đường Minh Mạng, Phường Hòa Quý, Quận Ngũ Hành Sơn, Đà Nẵng"
