title,price,published,acreage,address
"Phòng trọ giá rẻ, địa chỉ ngõ 639, Hoàng Hoa Thám, Ba Đình, Hà Nội",1.5,17/11/2015,40.0,"Số 7, ngõ 639/87, Hoàng Hoa Thám, Ba Đình, Hà Nội"
"Cho thuê phòng 18m2 (giảm 20% tiền phòng T5) đầy đủ điều hòa, nóng lạnh, TH cáp tại Cầu Giấy. Gía 2,2triệu",2.2,27/04/2016,18.0,"412 Đường Bưởi, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội"
"Cho thuê phòng trọ tại Ngõ 465 Đội Cấn, vệ sinh khép kín",1.2,18/05/2016,12.0,"Đội Cấn, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội"
Cho thuê nhà ở khu vực Hoàng Hoa Thám,2.5,13/05/2017,36.0,"Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội"
"Cho thuê phòng trọ, giá 2.8tr/th tại số 47 Vĩnh Phúc, Ba Đình",2.8,27/12/2016,27.0,"Số 47 Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội"
"Phòng ở sạch sẽ, tiện nghi, yên tĩnh, khép kín",1.7000000000000002,03/05/2017,20.0,Số nhà 14 ngõ 639/39/31 đường Hoàng Hoa Thám Ba Đình Hà Nội
CHO THUÊ PHÒNG TRỌ KV PHỐ CỔ,3.0,06/12/2017,10.0,"Phường Quán Thánh, Quận Ba Đình, Hà Nội"
"Cho thuê 2 phòng ở tầng 4, đường Tứ Hiệp, Thanh Trì",3.0,26/06/2020,20.0,"84 Đường Tứ Hiệp, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội"
"Phòng trọ tại ngõ Xã Đàn 2, Phường Nam Đồng, Quận Đống Đa",1.7000000000000002,08/03/2016,15.0,"Ngõ Xã Đàn 2, Phường Nam Đồng, Quận Đống Đa"
Cho thuê phòng trọ giá 2.3 triệu Ngõ Xã Đàn 2,2.3,21/02/2016,17.0,"101C Ngõ Xã Đàn 2, Nam Đồng, Đống Đa, Hà Nội"
"Cho thuê 2 Phòng trọ ở Hồ Đắc Di, Đống Đa",2.5,06/04/2016,20.0,"Nhà số 1, ngõ 145 (cạnh nhà nghỉ Thiên Anh), Đường Trần Hữu Tước, Phường Nam Đồng, Quận Đống Đa, Hà Nội"
"Cho thue phong tro 36mv tai Van Canh, Hoai Duc, Ha Noi",1.8,27/12/2017,36.0,"Đường 70, Xã Vân Canh, Huyện Hoài Đức, Hà Nội"
